"Viral_contig"	"pvalue"	"R2"	"fdr"
"172"	"SK02_contig_211_pilon"	0.705	-0.0248584995224258	0.997
"173"	"SK20_contig_1140_pilon"	0.8	-0.0738841184166309	0.997
"174"	"H13_contig_81_pilon"	0.63	-0.0282681731914101	0.997
"175"	"DC16_contig_85_pilon"	0.909	-0.143786262299088	0.997
"176"	"NC151_contig_515_pilon"	0.333	0.0178573626206041	0.997
"177"	"NCF041_contig-120_8"	0.059	0.1698745382822	0.95973417721519
"178"	"NC173_contig-120_15"	0.976	-0.21919779184365	0.997
"179"	"H46_contig-120_58"	0.317	0.0295211987478277	0.997
"180"	"SK02_contig_85_pilon"	0.19	0.0675143104103141	0.95973417721519
"181"	"S06_contig-120_18"	0.191	0.0768553042978939	0.95973417721519
"182"	"NCF044_contig_332_pilon"	0.941	-0.106762448094002	0.997
"183"	"H65_contig_92_pilon"	0.6	-0.027041613453089	0.997
"184"	"QM01_contig_22"	0.286	0.0191955763451865	0.997
"185"	"H46_NODE_1"	0.944	-0.236512901407253	0.997
"186"	"H46_NODE_5"	0.68	-0.110440489751841	0.997
"187"	"QM01_contig_233"	0.545	-0.013366777382739	0.997
"188"	"DC26_contig_993_pilon"	0.759	-0.0476131567168041	0.997
"189"	"H49_contig_116_pilon"	0.389	0.0138672589565943	0.997
"190"	"A09_contig_412_pilon"	0.613	-0.0980037911664847	0.997
"191"	"A11_contig_44_pilon"	0.226	0.154638428206772	0.997
"192"	"H34_NODE_47"	0.959	-0.146917641158659	0.997
"193"	"S02_contig_334_pilon"	0.146	0.0471268831417731	0.95973417721519
"194"	"SK20_contig_948_pilon"	0.084	0.181742684603006	0.95973417721519
"195"	"SK02_contig_98_pilon"	0.823	-0.0410222107679089	0.997
"196"	"NCF106_contig_231_pilon"	0.452	-0.00194020600348177	0.997
"197"	"H73_contig_89_pilon"	0.537	-0.0201883944022381	0.997
"198"	"A13_contig_207_pilon"	0.352	0.0564218177370674	0.997
"199"	"QM02_contig_126_pilon"	0.931	-0.0545726451607955	0.997
"200"	"H46_opera_contig_89"	0.015	0.443020807939578	0.714375
"201"	"A13_NODE_54"	0.814	-0.114022184099726	0.997
"202"	"H02_NODE_1"	0.255	0.0619574647350412	0.997
"203"	"NC185_contig-120_14"	0.216	0.131839123498956	0.991518072289157
"204"	"H69_tig00000001_pilon"	0.987	-0.173617864379984	0.997
"205"	"H02_contig_53_pilon"	0.004	0.328526830200891	0.5715
"206"	"H02_NODE_27"	0.632	-0.0678489615629685	0.997
"207"	"H02_contig-120_42"	0.146	0.133952676715088	0.95973417721519
"208"	"H28_NODE_1"	0.783	-0.0900079451927325	0.997
"209"	"H28_NODE_3"	0.66	-0.0533600993558741	0.997
"210"	"H28_contig-120_0"	0.734	-0.073886247388922	0.997
"211"	"H28_NODE_5"	0.011	0.291563743641459	0.598714285714286
"212"	"H31_NODE_1"	0.76	-0.0676128217813606	0.997
"213"	"SK12_NODE_8"	0.785	-0.0695930651309046	0.997
"214"	"DC28_tig00000001_pilon"	0.818	-0.0744694032044241	0.997
"215"	"B03_utg00000007_pilon"	0.937	-0.120667337825874	0.997
"216"	"H34_contig_676_pilon"	0.849	-0.081021653416874	0.997
"217"	"H63_NODE_10"	0.986	-0.161456996589706	0.997
"218"	"S05_NODE_10"	0.975	-0.140932502422051	0.997
"219"	"A16_NODE_3"	0.792	-0.069909436396589	0.997
"220"	"SK08_contig_38_pilon"	0.828	-0.0802291644831295	0.997
"221"	"A09_NODE_13"	0.388	0.0178631000498395	0.997
"222"	"QM02_contig_66_pilon"	0.305	0.0470286131999057	0.997
"223"	"SK54_contig_771_pilon"	0.351	0.0403820959510733	0.997
"224"	"QM02_NODE_2"	0.487	-0.00332056836716213	0.997
"225"	"H34_contig_56_pilon"	0.986	-0.236588026540593	0.997
"226"	"QM02_NODE_5"	0.29	0.027027349820813	0.997
"227"	"QM02_contig_157_pilon"	0.881	-0.0807323812459097	0.997
"228"	"SK43_contig-120_6"	0.785	-0.0600612423016233	0.997
"229"	"B13_NODE_8"	0.174	0.128351315998984	0.95973417721519
"230"	"H48_contig_50_pilon"	0.556	-0.0200491511984518	0.997
"231"	"NCF055_contig_45_pilon"	0.192	0.0698797539300962	0.95973417721519
"232"	"H47_contig_131_pilon"	0.079	0.133053290983647	0.95973417721519
"233"	"QM01_contig_422"	0.006	0.249181023460161	0.5715
"234"	"SK43_contig_268_pilon"	0.09	0.213402568808119	0.95973417721519
"235"	"SK55_contig-120_9"	0.098	0.127800996651956	0.95973417721519
"236"	"H19_contig_395_pilon"	0.766	-0.0835115786647235	0.997
"237"	"B13_contig_86_pilon"	0.687	-0.045293135522819	0.997
"238"	"H12_contig_65_pilon"	0.028	0.253639702863899	0.9525
"239"	"QM08_NODE_37"	0.105	0.158978459666158	0.95973417721519
"240"	"NCF051_NODE_3"	0.064	0.306205361200542	0.95973417721519
"241"	"H19_contig_510_pilon"	0.933	-0.28810406552003	0.997
"242"	"H34_contig_63_pilon"	0.963	-0.136737610283265	0.997
"243"	"DC13_NODE_10"	0.174	0.132769285587021	0.95973417721519
"244"	"QM02_contig_19_pilon"	0.564	-0.0320732062768744	0.997
"245"	"H09_contig-120_23"	0.942	-0.18163291675863	0.997
"246"	"QM02_NODE_23"	0.288	0.0393842380276605	0.997
"247"	"SK20_contig_36_pilon"	0.946	-0.112466600486554	0.997
"248"	"DC05_NODE_11"	0.252	0.139266442099818	0.997
"249"	"NC317_contig_321_pilon"	0.509	-0.044974970657763	0.997
"250"	"SK20_contig-120_52"	0.573	-0.0355902724028978	0.997
"251"	"QM01_contig_30"	0.915	-0.193216730426697	0.997
"252"	"SK12_contig_45_pilon"	0.654	-0.0339186656698965	0.997
"253"	"SK12_opera_contig_7"	0.254	0.0734042769061958	0.997
"254"	"DC16_contig_313_pilon"	0.819	-0.0904375996762796	0.997
"255"	"A13_contig_33_pilon"	0.099	0.23811487306475	0.95973417721519
"256"	"A01_NODE_6"	0.731	-0.125990729996974	0.997
"257"	"QM02_tig00000002_pilon"	0.206	0.134534627399887	0.981075
"258"	"H11_NODE_7"	0.142	0.180466808434489	0.95973417721519
"259"	"DC26_contig_489_pilon"	0.133	0.117034510036268	0.95973417721519
"260"	"H73_contig-120_5"	0.869	-0.149612591288474	0.997
"261"	"NCF171_contig_92_pilon"	0.691	-0.0852435465818825	0.997
"262"	"DC26_contig_23_pilon"	0.777	-0.0636236947567232	0.997
"263"	"SK51_contig_58_pilon"	0.549	-0.0398541022329481	0.997
"264"	"NCF004_contig_115_pilon"	0.241	0.0994490291849435	0.997
"265"	"QM01_contig_53"	0.16	0.0887601483878091	0.95973417721519
"266"	"SK20_scaffold_242_pilon"	0.199	0.052788477784716	0.95973417721519
"267"	"DC23_opera_contig_19"	0.254	0.0714918234711128	0.997
"268"	"S02_contig_754_pilon"	0.756	-0.081604105738677	0.997
"269"	"H48_contig-120_28"	0.883	-0.12902003307847	0.997
"270"	"NC308_NODE_20"	0.503	-0.00297350074771558	0.997
"271"	"SK20_NODE_55"	0.581	-0.0197356988623377	0.997
"272"	"DC26_contig_396_pilon"	0.262	0.0758973033202195	0.997
"273"	"SK14_contig_19_pilon"	0.512	-0.0150821752136571	0.997
"274"	"SK20_contig_385_pilon"	0.977	-0.22728943207788	0.997
"275"	"NCF004_contig_542_pilon"	0.01	0.242679706603944	0.598714285714286
"276"	"H28_NODE_9"	0.846	-0.223054217655828	0.997
"277"	"H49_NODE_8"	0.857	-0.216107460548001	0.997
"278"	"H34_NODE_38"	0.929	-0.112628586262559	0.997
"279"	"H47_NODE_22"	0.987	-0.146449938606408	0.997
"280"	"H28_NODE_16"	0.918	-0.117473863520206	0.997
"281"	"SK08_NODE_8"	0.688	-0.059910007317252	0.997
