	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_contig_297_pilon	0.0	0.0				0.0		0.0													0.0	0.0									0.0			0.0	0.0		0.0	0.0													0.0				0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0		0.0							0.0		
A01_contig_298_pilon	0.0							0.0057119835941351				0.8703498487025555																		0.0					0.092155692084626																	0.0068958836953128								0.0090098631208414												0.0359849494520739																			
A01_contig_304_pilon	0.0011267946489895				0.0			0.0																0.0			0.0			0.0				0.0			0.0																						0.0	0.0				0.0							0.0	0.0										0.0				0.0	0.0		0.0	0.0	0.0
A01_contig_307_pilon	0.0	0.0			0.0			0.0																													0.0									0.0	0.0													0.0			0.0	0.0			0.0	0.0																		0.0		0.0	0.0005813683584312		
A01_contig_309_pilon	6.914267160390598						0.3152922054108079	0.8419902709445038														0.0503880710903794				0.1449498340187245																																												0.1068113892538416																	0.0739157962148344				
A01_contig_312_pilon	0.0349245321154953							0.0044219613948939																																																																																			
A01_contig_313_pilon	0.5353187924245785	0.0027308732154483						0.8867119740446093	0.0	0.0084877144651373	0.1277111216739281			0.0			0.0				0.0					0.0				0.0				0.0				0.0													0.0				0.0136444039937904		0.0005489725839397		0.0076635837788631	0.0	0.0		0.0005669326482265				0.0					0.0144996050391098		0.0	0.0				0.0016130745293989	0.0	0.0								0.0134091700184634		
A01_contig_314_pilon	0.133032644696365		0.0	0.0	0.0		0.0	0.0138632896502226	0.0	0.0	0.0			0.0			0.0012608291570337				0.0	0.0	0.0	0.0	0.0	0.0011626953622782	0.0	0.0174288817530411		0.0062788016565723				0.0		0.0	0.0					0.0				0.0	0.0	0.0012509310094051			0.0		0.0				0.0		0.0	0.0		0.0	0.0	0.0	0.0				0.0		0.0	0.0		0.0		0.0	0.0			0.0			0.0	0.0		0.0288105607592449	0.0	0.0	0.0	0.0	
A01_contig_315_pilon	0.0	0.0						0.0	0.0	0.0	0.0		0.0			0.0				0.0012405587532607							0.0											0.0		0.0					0.0															0.0	0.0	0.0	0.0	0.0		0.0005470159900825											0.0					0.0	0.0	0.0					0.0		
A01_contig_317_pilon	0.0			0.0				0.0	0.0																																																							0.0												0.0			0.0										0.0063499915037029		
A01_contig_319_pilon	31.72455063980652							2.5066152267477664																																																																																			
A01_contig_321_pilon	4.092118976867256							0.5066607379672144																																																																																			
A01_contig_322_pilon	0.0							0.0																																																																																	0.0		
A01_contig_46_pilon	12.290047613280365			0.0188995798249212				0.5545587691057942	0.1466825830335502				4.39295718021368								0.0829479695961426		0.0097274412976409					0.1045354333734864						0.0411539389569575										0.0765768963202877																	0.0367200715036286													0.0147147043309793			0.0388628522893608														
